1,2,3,4,5,6,7,A,C,E,N,Q,R,W,B,D,F,M,L,G,J,Z
South Ferry,New Lots Av,New Lots Av,Crown Hts-Utica Av,Flatbush Av-Brooklyn College,Brooklyn Bridge-City Hall,34 St-Hudson Yards,Far Rockaway-Mott Av,Euclid Av,World Trade Center,Coney Island-Stillwell Av,Coney Island-Stillwell Av,Bay Ridge-95 St,Whitehall St-South Ferry,Brighton Beach,Coney Island-Stillwell Av,Coney Island-Stillwell Av,Middle Village-Metropolitan Av,Canarsie-Rockaway Pkwy,Church Av,Broad St,Broad St
Rector St,Van Siclen Av,Van Siclen Av,Franklin Av-Medgar Evers College,Newkirk Av-Little Haiti,Canal St,Times Sq-42 St,Beach 25 St,Shepherd Av,Canal St,86 St,W 8 St-NY Aquarium,86 St,Rector St,Sheepshead Bay,Bay 50 St,W 8 St-NY Aquarium,Fresh Pond Rd,East 105 St,Fort Hamilton Pkwy ,Fulton St,Fulton St
WTC Cortlandt ,Pennsylvania Av,Pennsylvania Av,Atlantic Av-Barclays Ctr,Beverly Rd,Spring St,5 Av,Beach 36 St,Van Siclen Av,Spring St,Avenue U,Ocean Pkwy,77 St,Cortlandt St,Kings Hwy,25 Av,Neptune Av,Forest Av,New Lots Av,15 St-Prospect Park,Chambers St,Chambers St
Chambers St,Junius Av,Junius Av,Nevins St,Church Av,Bleecker St,Grand Central-42 St,Beach 44 St,Liberty Av,W 4 St-Wash Sq,Kings Hwy,Brighton Beach,Bay Ridge Av,City Hall ,Newkirk Plaza,86 St,Avenue X,Seneca Av,Livonia Av,7 Av,Canal St,Canal St
Franklin St,Flatbush Av-Brooklyn College,Rockaway Av,Borough Hall,Crown Hts-Utica Av,Aster Pl,Vernon Blvd-Jackson Av,Beach 60 St,Broadway Junction,14 St,Bay Pkwy,Sheepshead Bay,59 St,Canal St,Church Av,20 Av,Avenue U ,Myrtle-Wyckoff Avs,Sutter Av,4 Av-9 St,Bowery,Bowery
Canal St,Rockaway Av,Saratoga Av,Bowling Green,Winthrop St,14 St-Union Sq,Hunters Point Av,Beach 67 St,Rockaway Av,23 St,20 Av,Neck Rd,45 St,Prince St,Prospect Park,18 Av,Kings Hwy,Knickerbocker Av,Atlantic Av,Smith-9 St,Delancey St-Essex St,Delancey St-Essex St
Houston St ,Newkirk Av-Little Haiti,Sutter Av-Rutland Rd,Wall St,Sterling St,23 St,Court St,Broad Channel,Ralph Av,34 St-Penn Station ,18 Av,Avenue U,36 St,8 St-NYU,7 Ave,79 St,Avenue P,Central Av,Broadway Junction ,Carroll St,Marcy Av,Marcy Av
Chistopher St-Sherdian Sq,Saratoga Av,Crown Hts-Utica Av,Fulton St,President St-Medgar Evers College,28 St,Queensboro Plaza,Howard Beach-JFK Airport,Utica Av,42 St-Port Authority Bus Terminal,New Utrect Av,Kings Hwy,25 St,14 St-Union Sq,Atlantic Av-Barclays Ctr,71 St,Avenue N,Myrtle Av,Bushwick Av-Aberdeen St,Bergen St,Hewes St,Myrtle Av
14 St,Beverly Rd,Kingston Av,Brooklyn Bridge-City Hall,Franklin Av-Medgar Evers College,33 St,33 St-Rawson St,Ozone Park-Leffers Blvd,Kingston-Throop Avs,50 St,Fort Hamilton Pkwy,Avenue M,Prospect Av,23 St,Dekalb Av,62 St,Bay Pkwy,Flushing Av,Wilson Av,Hoyt-Schermerhorn Sts,Lorimer St,Gates Av
18 St,Sutter Av-Rutland Rd,Nostrand Av,14 St-Union Sq,Atlantic Av-Barclays Ctr,Grand Central-42 St,40 St St-Lowery St,Aqueduct-N Conduit Av,Nostrand Av,7 Av,8 Av,Avenue J,4 Av-9 St,28 St,Grand St,55 St,Avenue I ,Lorimer St,Halsey St,Fulton St,Flushing Av,Chauncey St
23 St,Church Av,Franklin Av-Medgar Evers College,Grand Central-42 St,Nevins St,51 St,46 St-Bliss St,Aqueduct Racetrack,Franklin Av,5 Av/53 St,59 St,Avenue H,Union St,34 St-Herald Sq,Broadway-Lafayette St,50 St,18 Ave,Hewes St,Myrtle-Wyckoff Avs,Clinton-Washington Avs,Myrtle Av,Broadway Junction 
28 St,Crown Hts-Utica Av,Eastern Pkwy-Brooklyn Museum,59 St,Borough Hall,59 St,52 St,111 St,Clinton-Washington Avs,Lexington Av/53 St,36 St,Newkirk Plaza,Atlantic Av-Barclays Ctr,Times Sq-42 St,W 4 St-Wash Sq,Fort Hamilton Pkwy ,Ditmas Av,Marcy Av,Dekalb Av,Classon Av,Kosciuszko St,Alabama Av
34 St-Penn Station ,Winthrop St,Grand Army Plaza,86 St,Browling Green,68 St-Hunter College,61 St-Woodside ,104 St,Lafayette Av,Court St-23 St,Atlantic Av-Barclays Ctr,Cortelyou Rd,Dekalb Av,49 Th,34 St-Herald Sq,9 Av,Church Av,Delancy St-Essex St,Jefferson St,Bedford-Nostrand Avs,Gates Av,Van Sicklen Av
Times Sq-42 St,Kingston Av,Bergen St,125 St,Wall St,77 St,69 St,Rockaway Blvd,Hoyt-Schermerhorn Sts,Queens Plaza,Canal St,Beverley Rd,Jay St-Metrotech,57 St-7 Av,42 St-Bryant Pk,36 St,Fort Hamilton Pkwy ,Broadway-Lafayette St,Morgan Av,Myrtle-Willoughby Avs,Halsey St,Norwood Av
50 St,Sterling St,Atlantic Av-Barclays Ctr,138 St-Grand Concourse,Fulton St,86 St,74 St-Broadway,88 St,Jay St-Metrotech,Jackson Hts-Roosevelt Av,14 St-Union Sq,Church Av,Court St,5 Av/59 St,47-50 Sts-Rockefeller Ctr,Atlantic Av-Barclays Ctr,15 St-Prospect Park,W 4 St-Wash Sq,Monstrose Av,Flushing Av,Chauncey St,Crescent St
59 St-Columbus Circle,President St-Medgar Evers College,Nevins St,149 St-Grand Concourse,Brooklyn Bridge-City Hall,96 St,90 St-Elmhurst Av,80 St,High St,Forest Hills-71 Av,34 St-Herald Sq,Parkside Av,Whitehall St-South Ferry,Lexington Av/59 St,7 Ave,Grand St,7 Ave,14 St,Grand St,Broadway,Broadway Junction ,75 St-Elderts Ln
66 St-Lincoln Center,Nostrand Av,Hoyt St,161 St-Yankee Stadium ,14 St-Union Sq,103 St,Junction Blvd,Grant Av,Fulton St,Kew Gardens-Union Tpke,Times Sq-42 St,Prospect Park ,Rector St,Queensboro Plaza,59 St-Columbus Circle,Broadway-Lafayette St,4 Av-9 St,23 St,Graham Av,Metropolitan Av,Alabama Av,Woodhaven Blvd
72 St,Franklin Av-Medgar Evers College,Borough Hall,167 St,Grand Central-42 St,110 St,103 St-Corona Plaza,Euclid Av,Chambers St,Jamaica-Van Wyck,49 St,7 Av,Cortlandt St,39 Av-Dutch Kills,72 St,W 4 St-Washington Sq,Smith 9-St,34 St-Herald Sq,Lorimer St,Nassau Av,Van Siclen Av,104 St
79 St,Eastern Pkwy-Brooklyn Museum,Clark St,170 St,59 St,116 St,Mets-Willets Point,Broadway Junction,Canal St,Sutphin Blvd-Atcher Av-JFK Airport,57 St-7 Av,Atlantic Av-Barclays Ctr,City Hall,36 Av,81 St-Museum Of Natural History,34 St-Herald Sq,Carroll St,42 St-Bryant Pk,Bedford Av,Greenpoint Av,Cleveland St,121 St
86 St,Grand Army Plaza,Wall St,Mt Eden Av,86 St,125 St,Flushing-Main St,Utica Av,Spring St,Jamaica Center-Parsons/Archer,Lexington Av/59 St,Dekalb Av,Canal St,Broadway,86 St,42 St-Bryant Pk,Bergen St,47-50 Sts-Rockefeller Ctr,1 Av,21 St,Norwood Av,Sutphin Blvd-Archer Av-JFK Airport
96 St,Bergen St,Fulton St,176 St,125 St,3 Av-138 St,,Nostrand Av,W 4 St-Wash Sq,,Queensboro Plaza,Canal St,Prince St,30 Av,96 St,47-50 Sts-Rockefeller Ctr,Jay St-Metrotech,5 Av/53 St,3 Av,Court St,Crescent St,Jamaica Center-Parsons/Archer
103 St,Atlantic Av-Barclays Ctr,Park Place,Burnside Av,138 St-Grand Concourse,Brook Ave,,Lafayette Av,14 St,,39 Av-Dutch Kills,14 St-Union Sq,8 St-NYU,Astoria Blvd,103 St,7 Ave,York St,Lexington Av/53 St,14 St-Union Sq,,Cypress Hills,
Cathedral Pkwy (110 St),Nevins St,Chambers St,183 St,149 St-Grand Concourse,Cypress Av,,Hoyt-Schermerhorn Sts,23 St,,Lexington Av/63 St,34 St-Herald Sq,14 St-Union Sq,Astoria-Ditmars Blvd,Cathedral Pkwy (110 St),59 St-Columbus Circle,East Broadway,Court Sq-23 St,6 Av,,75 St-Elderts Ln,
116 St-Columbia University,Hoyt St,14 St,Fordham Rd,3 Av-149 St,E 143 St-St Mary'a St,,Jay St-Metrotech,34 St-Penn Station ,,36 Av,Times Sq-42 St,23 St,,116 St,125 St,Delancey St-Essex St,Queens Plaza,8 Av,,85 St-Forest Pkwy,
125 St,Borough Hall,34 St-Penn Station,Kingsbridge Rd,Jackson Av,E 149 St,,High St,42 St-Port Authority Bus Terminal,,72 St,57 St-7 Av,28 St,,125 St,145 St,2 Av,36 St,,,Woodhaven Blvd,
137 St-City College,Clark St,Times Sq-42 St,Bedford Park Blvd-Lehman College,Prospect Av,Longwood Av,,Fulton St,50 St,,Broadway,Lexington Av/63 St,34 St-Herald Sq,,135 St,155 St,Broadway-Lafayette St,Steinway St,,,104 St,
145 St,Wall St,72 St,Mosholu Pkwy ,Intervale Av,Hunts Point Av,,Chambers St,59 St-Columbus Circle,,30 Av,72 St,Times Sq-42 St,,145 St,161 St-Yankee Stadium ,W 4 St-Wash Sq,46 St,,,111 St,
157 St,Fulton St,96 St,Woodlawn,Simpson St,Whitlock Av,,Canal St,72 St,,86 St,86 St,49 Th,,155 St,167 St,14 St,Northern Blvd,,,121 St,
168 St-Washington Hts,Park Place,Central Park North (110 St),,Freeman St,Elder Av,,Spring St,81 St-Museum Of Natural History,,Astoria Blvd,96 St,57 St-7 Av,,161 St-Yankee Stadium ,170 St,23 St,65 St,,,Sutphin Blvd-Archer Av-JFK Airport,
181 St,Chambers St,116 St,,174 St,Morrison Av-Soundview,,W 4 St-Wash Sq,86 St,,Astoria-Ditmars Blvd,,5 Av/59 St,,167 St,174-175 Sts,34 St-Herald Sq,Jackson Hts-Roosevelt Av,,,Jamaica Center-Parsons/Archer,
191 St,14 St,125 St,,West Farms Sq-E Tremont Av,St Lawrence Av,,14 St,96 St,,96 St,,Lexington Av/59 St,,170 St,Tremont Av,42 St-Bryant Pk,Elmhurst Av,,,,
Dyckman St,34 St-Penn Station,135 St,,E 180 St,Parkchester,,34 St-Penn Station ,103 St,,,,Queens Plaza,,174-175 Sts,182-183 Sts,47-50 Sts Rockefeller Ctr,Grand Av-Newtown,,,,
207 St,Times Sq-42 St,145 St,,Bronx Park East,,,42 St-Port Authority Bus Terminal,Cathedral Pkwy (110 St),,,,36 St,,Tremont Av,Fordham Rd,57 St,Woodhaven Blvd,,,,
215 St,72 St,Harlem-148 St,,Pelham Pkwy,,,59 St-Columbus Circle,116 St,,,,Steinway St,,Lexington Av/63 St,Kingsbridge Rd,Lexington Av/63 St,63 Dr-Rego Park,,,,
Marble Hill-225 St,96 St,,,Morris Park,,,125 St,125 St,,,,46 St,,182-183 Sts,Bedford Park Blvd,Roosevelt Island ,67 Av,,,,
231 St,Central Park North (110 St),,,Allerton Av,,,145 St,135 St,,,,Northern Blvd,,72 St,Norwood-205 St,S21 St-Queensbridge ,Forest Hills-71 Av,,,,
238 St,116 St,,,Pelham Pkwy,,,168 St,145 St,,,,65 St,,Fordham Rd,,Jackson Hts-Roosevelt Av,,,,,
Van Cortlandt Park-242 St,125 St,,,Burke Av,,,175 St,155 St,,,,Jackson Hts-Roosevelt Av,,Kingsbridge Rd,,Forest Hills-71 Av,,,,,
,135 St,,,Gun Hill Rd,,,181 St,163 St-Amsterdam Av,,,,Elmhurst Av,,86 St,,75 Av,,,,,
,149 St-Grand Concourse,,,Gun Hill Rd,,,190 St,168 St,,,,Grand Av-Newtown,,96 St,,Kew Gardens-Union Tpke,,,,,
,3 Av-149 St,,,219 St,,,Dyckman St,,,,,Woodhaven Blvd,,Bedford Park Blvd,,Briarwood,,,,,
,Jackson Av,,,225 St,,,Inwood-207 St,,,,,63 Dr-Rego Park,,,,Sutphin Blvd,,,,,
,Prospect Av,,,Baychester Av,,,,,,,,67 Av,,,,169 St,,,,,
,Intervale Av,,,233 St,,,,,,,,Forest Hills-71 Av,,,,Jamaica-179 St,,,,,
,Simpson St,,,Nereid Av,,,,,,,,,,,,,,,,,
,Freeman St,,,Eastchester-Drye Av,,,,,,,,,,,,,,,,,
,174 St,,,,,,,,,,,,,,,,,,,,
,West Farms Sq-E Tremont Av,,,,,,,,,,,,,,,,,,,,
,E 180 St,,,,,,,,,,,,,,,,,,,,
,Bronx Park East,,,,,,,,,,,,,,,,,,,,
,Pelham Pkwy,,,,,,,,,,,,,,,,,,,,
,Allerton Av,,,,,,,,,,,,,,,,,,,,
,Burke Av,,,,,,,,,,,,,,,,,,,,
,Gun Hill Rd,,,,,,,,,,,,,,,,,,,,
,219 St,,,,,,,,,,,,,,,,,,,,
,225 St,,,,,,,,,,,,,,,,,,,,
,233 St,,,,,,,,,,,,,,,,,,,,
,Nereid Av,,,,,,,,,,,,,,,,,,,,
,Wakefield-241 St,,,,,,,,,,,,,,,,,,,,